Chapter_1:  argument 	Value passed to a function.
Chapter_1:  ++ operator 	Increment operator. Adds 1 to the operand; ++i is equivalent to i = i + 1.
Chapter_1:  += operator 	Compound assignment operator that adds the right-hand operand to the left and stores the result in the left-hand operand; a += b is equivalent to a = a + b.
Chapter_1:  . operator 	Dot operator. Left-hand operand must be an object of class type and the right-hand operand must be the name of a member of that object. The operator yields the named member of the given object.
Chapter_1:  :: operator 	Scope operator. Among other uses, the scope operator is used to access names in a namespace. For example, std::cout denotes the name cout from the namespace std.
Chapter_1:  = operator 	Assigns the value of the right-hand operand to the object denoted by the left-hand operand.
Chapter_1:  -- operator 	Decrement operator. Subtracts 1 from the operand; --i is equivalent to i = i - 1.
Chapter_1:  << operator 	Output operator. Writes the right-hand operand to the output stream indicated by the left-hand operand: cout << "hi" writes hi to the standard output. Output operations can be chained together: cout << "hi" << "bye" writes hibye.
Chapter_1:  >> operator 	Input operator. Reads from the input stream specified by the lefthand operand into the right-hand operand: cin >> i reads the next value on the standard input into i. Input operations can be chained together: cin >> i >> j reads first into i and then into j.
Chapter_1:  # include 	Directive that makes code in a header available to a program.
Chapter_1:  == operator 	The equality operator. Tests whether the left-hand operand is equal to the right-hand operand.
Chapter_1:  != operator 	The inequality operator. Tests whether the left-hand operand is not equal to the right-hand operand.
Chapter_1:  <= operator 	The less-than-or-equal operator. Tests whether the left-hand operand is less than or equal to the right-hand operand.
Chapter_1:  < operator 	The less-than operator. Tests whether the left-hand operand is less than the right-hand operand.
Chapter_1:  >= operator 	Greater-than-or-equal operator. Tests whether the left-hand operand is greater than or equal to the right-hand operand.
Chapter_2:  > operator 	Greater-than operator. Tests whether the left-hand operand is greater than the right-hand operand. address Number by which a byte in memory can be found.
Chapter_2:  alias declaration 	Defines a synonym for another type: using name = type declares name as a synonym for the type type .
Chapter_2:  arithmetic types 	Built-in types representing boolean values, characters, integers, and floating-point numbers.
Chapter_2:  array 	Data structure that holds a collection of unnamed objects that are accessed by an index. Section 3.5 covers arrays in detail.
Chapter_2:  auto 	Type specifier that deduces the type of a variable from its initializer.
Chapter_2:  base type type specifier	, possibly qualified by const, that precedes the declarators in a declaration. The base type provides the common type on which the declarators in a declaration can build.
Chapter_2:  bind 	Associating a name with a given entity so that uses of the name are uses of the underlying entity. For example, a reference is a name that is bound to an object.
Chapter_2:  byte 	Smallest addressable unit of memory. On most machines a byte is 8 bits.
Chapter_2:  class member 	Part of a class.
Chapter_2:  compound type 	A type that is defined in terms of another type.
Chapter_2:  const 	Type qualifier used to define objects that may not be changed. const objects must be initialized, because there is no way to give them a value after they are defined.
Chapter_2:  const pointer 	Pointer that is const.
Chapter_2:  const reference 	Colloquial synonym for reference to const.
Chapter_2:  constant expression 	Expression that can be evaluated at compile time.
Chapter_2:  constexpr 	Variable that represents a constant expression. § 6.5.2 (p. 239) covers constexpr functions.
Chapter_2:  conversion 	Process whereby a value of one type is transformed into a value of another type. The language defines conversions among the built-in types.
Chapter_2:  data member 	Data elements that constitute an object. Every object of a given class has its own copies of the class’ data members. Data members may be initialized when declared inside the class.
Chapter_2:  declaration 	Asserts the existence of a variable, function, or type defined elsewhere. Names may not be used until they are defined or declared.
Chapter_2:  declarator 	The part of a declaration that includes the name being defined and an optional type modifier.
Chapter_2:  decltype 	Type specifier that deduces the type of a variable or an expression.
Chapter_2:  default initialization 	How objects are initialized when no explicit initializer is given. How class type objects are initialized is controlled by the class. Objects of built-in type defined at global scope are initialized to 0; those defined at local scope are uninitialized and have undefined values.
Chapter_2:  definition 	Allocates storage for a variable of a specified type and optionally initializes the variable. Names may not be used until they are defined or declared.
Chapter_2:  escape sequence 	Alternative mechanism for representing characters, particularly for those without printable representations. An escape sequence is a backslash followed by a character, three or fewer octal digits, or an x followed by a hexadecimal number.
Chapter_2:  global scope 	The scope that is outside all other scopes.
Chapter_2:  header guard 	Preprocessor variable used to prevent a header from being included more than once in a single file.
Chapter_2:  identifier 	Sequence of characters that make up a name. Identifiers are casesensitive.
Chapter_2:  in-class initializer 	Initializer provided as part of the declaration of a class data member. In-class initializers must follow an = symbol or be enclosed inside curly braces.
Chapter_2:  in scope 	Name that is visible from the current scope.
Chapter_2:  initialized 	A variable given an initial value when it is defined. Variables usually should be initialized.
Chapter_2:  inner scope 	Scope that is nested inside another scope.
Chapter_2:  integral types 	See arithmetic type.
Chapter_2:  list initialization 	Form of initialization that uses curly braces to enclose one or more initializers.
Chapter_2:  literal 	A value such as a number, a character, or a string of characters. The value cannot be changed. Literal characters are enclosed in single quotes, literal strings in double quotes.
Chapter_2:  local scope 	Colloquial synonym for block scope.
Chapter_2:  low-level const 	A const that is not top-level. Such consts are integral to the type and are never ignored.
Chapter_2:  member 	Part of a class.
Chapter_2:  nonprintable character 	A character with no visible representation, such as a control character, a backspace, newline, and so on.
Chapter_2:  null pointer 	Pointer whose value is 0. A null pointer is valid but does not point to any object.
Chapter_2:  nullptr 	Literal constant that denotes the null pointer.
Chapter_2:  object 	A region of memory that has a type. A variable is an object that has a name.
Chapter_2:  outer scope 	Scope that encloses another scope.
Chapter_2:  pointer 	An object that can hold the address of an object, the address one past the end of an object, or zero.
Chapter_2:  pointer to const 	Pointer that can hold the address of a const object. A pointer to const may not be used to change the value of the object to which it points.
Chapter_2:  preprocessor 	Program that runs as part of compilation of a C++ program.
Chapter_2:  preprocessor variable 	Variable managed by the preprocessor. The preprocessor replaces each preprocessor variable by its value before our program is compiled.
Chapter_2:  reference 	An alias for another object.
Chapter_2:  reference to const 	A reference that may not change the value of the object to which it refers. A reference to const may be bound to a const object, a nonconst object, or the result of an expression.
Chapter_2:  scope 	The portion of a program in which names have meaning. C++ has several levels of scope: global—names defined outside any other scope class—names defined inside a class namespace—names defined inside a namespace block—names defined inside a block Scopes nest. Once a name is declared, it is accessible until the end of the scope in which it was declared.
Chapter_2:  separate compilation 	Ability to split a program into multiple separate source files.
Chapter_2:  signed 	Integer type that holds negative or positive values, including zero.
Chapter_2:  string 	Library type representing variable-length sequences of characters.
Chapter_2:  struct 	Keyword used to define a class.
Chapter_2:  temporary 	Unnamed object created by the compiler while evaluating an expression. A temporary exists until the end of the largest expression that encloses the expression for which it was created.
Chapter_2:  top-level const 	The const that specifies that an object may not be changed.
Chapter_2:  type alias 	A name that is a synonym for another type. Defined through either a typedef or an alias declaration.
Chapter_2:  type checking 	Term used to describe the process by which the compiler verifies that the way objects of a given type are used is consistent with the definition of that type.
Chapter_2:  type specifier 	The name of a type.
Chapter_2:  typedef 	Defines an alias for another type. When typedef appears in the base type of a declaration, the names defined in the declaration are type names.
Chapter_2:  undefined 	Usage for which the language does not specify a meaning. Knowingly or unknowingly relying on undefined behavior is a great source of hard-to-track runtime errors, security problems, and portability problems.
Chapter_2:  uninitialized 	Variable defined without an initial value. In general, trying to access the value of an uninitialized variable results in undefined behavior.
Chapter_2:  unsigned 	Integer type that holds only values greater than or equal to zero.
Chapter_2:  variable 	A named object or reference. In C++, variables must be declared before they are used.
Chapter_2:  void* 	Pointer type that can point to any nonconst type. Such pointers may not be dereferenced.
Chapter_2:  void type 	Special-purpose type that has no operations and no value. It is not possible to define a variable of type void.
Chapter_2:  word 	The natural unit of integer computation on a given machine. Usually a word is large enough to hold an address. On a 32-bit machine a word is typically 4 bytes.
Chapter_2:  & operator 	Address-of operator. Yields the address of the object to which it is applied.
Chapter_2:  * operator 	Dereference operator. Dereferencing a pointer returns the object to which the pointer points. Assigning to the result of a dereference assigns a new value to the underlying object.
Chapter_2:  # define 	Preprocessor directive that defines a preprocessor variable.
Chapter_2:  # endif 	Preprocessor directive that ends an #ifdef or #ifndef region.
Chapter_2:  # ifdef 	Preprocessor directive that determines whether a given variable is defined.
Chapter_3:  # ifndef 	Preprocessor directive that determines whether a given variable is not defined. begin Member of string and vector that returns an iterator to the first element. Also, free-standing library function that takes an array and returns a pointer to the first element in the array.
Chapter_3:  buffer overflow 	Serious programming bug that results when we use an index that is out-of-range for a container, such as a string, vector, or an array. C-style strings Null-terminated character array. String literals are C-style strings. C-style strings are inherently error-prone.
Chapter_3:  class template 	A blueprint from which specific clas types can be created. To use a class template, we must specify additional information. For example, to define a vector, we specify the element type: vector<int> holds ints.
Chapter_3:  compiler extension 	Feature that is added to the language by a particular compiler. Programs that rely on compiler extensions cannot be moved easily to other compilers.
Chapter_3:  container 	A type whose objects hold a collection of objects of a given type.
Chapter_3:  vector 	is a container type.
Chapter_3:  copy initialization 	Form of initialization that uses an =. The newly created object is a copy of the given initializer.
Chapter_3:  difference_type 	A signed integral type defined by vector and string that can hold the distance between any two iterators.
Chapter_3:  direct initialization 	Form of initialization that does not include an =.
Chapter_3:  empty 	Member of string and vector. Returns bool, which is true if size is zero, false otherwise.
Chapter_3:  end 	Member of string and vector that returns an off-the-end iterator. Also, freestanding library function that takes an array and returns a pointer one past the last element in the array.
Chapter_3:  getline 	Function defined in the string header that takes an istream and a string. The function reads the stream up to the next newline, storing what it read into the string, and returns the istream. The newline is read and discarded.
Chapter_3:  index 	Value used in the subscript operator to denote the element to retrieve from a string, vector, or array.
Chapter_3:  instantiation 	Compiler process that generates a specific template class or function.
Chapter_3:  iterator 	A type used to access and navigate among the elements of a container.
Chapter_3:  iterator arithmetic 	Operations on vector or string iterators: Adding or subtracting an integral value and an iterator yields an iterator that many elements ahead of or behind the original iterator. Subtracting one iterator from another yields the distance between them. Iterators must refer to elements in, or off-theend of the same container.
Chapter_3:  null-terminated string 	String whose last character is followed by the null character ('\0').
Chapter_3:  off-the-end iterator 	The iterator returned by end that refers to a nonexistent element one past the end of a container.
Chapter_3:  pointer arithmetic 	The arithmetic operations that can be applied to pointers. Pointers to arrays support the same operations as iterator arithmetic.
Chapter_3:  ptrdiff_t 	Machine-dependent signed integral type defined in the cstddef header that is large enough to hold the difference between two pointers into the largest possible array.
Chapter_3:  push_back 	Member of vector. Appends elements to the back of a vector.
Chapter_3:  range for 	Control statement that iterates through a specified collection of values.
Chapter_3:  size 	Member of string and vector. Returns the number of characters or elements, respectively. Returns a value of the size_type for the type.
Chapter_3:  size_t 	Machine-dependent unsigned integral type defined in the cstddef header that is large enough to hold the size of the largest possible array.
Chapter_3:  size_type 	Name of types defined by the string and vector classes that are capable of containing the size of any string or vector, respectively. Library classes that define size_type define it as an unsigned type.
Chapter_3:  string 	Library type that represents a sequence of characters.
Chapter_3:  using declarations 	Make a name from a namespace accessible directly.
Chapter_3:  using 	namespace::name; makes name accessible without the namespace :: prefix.
Chapter_3:  value initialization 	Initialization in which built-in types are initialized to zero and class types are initialized by the class’s default constructor. Objects of a class type can be value initialized only if the class has a default constructor. Used to initialize a container’s elements when a size, but not an element initializer, is specified. Elements are initialized as a copy of this compiler-generated value.
Chapter_3:  vector 	Library type that holds a collection of elements of a specified type.
Chapter_3:  ++ operator 	The iterator types and pointers define the increment operator to “add one” by moving the iterator to refer to the next element.
Chapter_3:  [ ] operator 	Subscript operator. obj[i] yields the element at position i from the container object obj. Indices count from zero—the first element is element 0 and the last is the element indexed by obj.size() - 1. Subscript returns an object. If p is a pointer and n an integer, p[n] is a synonym for *(p+n).
Chapter_3:  -> operator 	Arrow operator. Combines the operations of dereference and dot operators: a->b is a synonym for (*a).b.
Chapter_3:  << operator 	The string library type defines an output operator. The string operator prints the characters in a string.
Chapter_3:  >> operator 	The string library type defines an input operator. The string operator reads whitespace-delimited chunks of characters, storing what is read into the right-hand (string) operand.
Chapter_3:  ! operator 	Logical NOT operator. Returns the inverse of the bool value of its operand. Result is true if operand is false and vice versa.
Chapter_3:  && operator 	Logical AND operator. Result is true if both operands are true. The right-hand operand is evaluated only if the left-hand operand is true.
Chapter_4:  || operator 	Logical OR operator. Yields true if either operand is true. The righthand operand is evaluated only if the left-hand operand is false. arithmetic conversion A conversion from one arithmetic type to another. In the context of the binary arithmetic operators, arithmetic conversions usually attempt to preserve precision by converting a smaller type to a larger type (e.g., integral types are converted to floating point).
Chapter_4:  associativity 	Determines how operators with the same precedence are grouped. Operators can be either right associative (operators are grouped from right to left) or left associative (operators are grouped from left to right).
Chapter_4:  binary operators 	Operators that take two operands.
Chapter_4:  cast 	An explicit conversion.
Chapter_4:  compound expression 	An expression involving more than one operator.
Chapter_4:  const_cast 	A cast that converts a low-level const object to the corresponding nonconst type or vice versa.
Chapter_4:  conversion 	Process whereby a value of one type is transformed into a value of another type. The language defines conversions among the built-in types. Conversions to and from class types are also possible.
Chapter_4:  dynamic_cast 	Used in combination with inheritance and run-time type identification. See § 19.2 (p. 825).
Chapter_4:  expression 	The lowest level of computation in a C++ program. Expressions generally apply an operator to one or more operands. Each expression yields a result. Expressions can be used as operands, so we can write compound expressions requiring the evaluation of multiple operators.
Chapter_4:  implicit conversion 	A conversion that is automatically generated by the compiler. Given an expression that needs a particular type but has an operand of a differing type, the compiler will automatically convert the operand to the desired type if an appropriate conversion exists.
Chapter_4:  integral promotions conversions that take a smaller integral type to its most closely related larger integral type. 	Operands of small integral types (e.g., short, char, etc.) are always promoted, even in contexts where such conversions might not seem to be required.
Chapter_4:  lvalue 	An expression that yields an object or function. A nonconst lvalue that denotes an object may be the left-hand operand of assignment.
Chapter_4:  operands 	Values on which an expression operates. Each operator has one or more operands associated with it.
Chapter_4:  operator 	Symbol that determines what action an expression performs. The language defines a set of operators and what those operators mean when applied to values of built-in type. The language also defines the precedence and associativity of each operator and specifies how many operands each operator takes. Operators may be overloaded and applied to values of class type.
Chapter_4:  order of evaluation 	Order, if any, in which the operands to an operator are evaluated. In most cases, the compiler is free to evaluate operands in any order. However, the operands are always evaluated before the operator itself is evaluated. Only the &&, ||, ?:, and comma operators specify the order in which their operands are evaluated.
Chapter_4:  overloaded operator 	Version of an operator that is defined for use with a class type. We’ll see in Chapter 14 how to define overloaded versions of operators.
Chapter_4:  precedence 	Defines the order in which different operators in a compound expression are grouped. Operators with higher precedence are grouped more tightly than operators with lower precedence.
Chapter_4:  promoted 	See integral promotions.
Chapter_4:  reinterpret_cast 	Interprets the contents of the operand as a different type. Inherently machine dependent and dangerous.
Chapter_4:  result 	Value or object obtained by evaluating an expression.
Chapter_4:  rvalue 	Expression that yields a value but not the associated location, if any, of that value.
Chapter_4:  short-circuit evaluation 	Term used to describe how the logical AND and logical OR operators execute. If the first operand to these operators is sufficient to determine the overall result, evaluation stops. We are guaranteed that the second operand is not evaluated.
Chapter_4:  sizeof 	Operator that returns the size, in bytes, to store an object of a given type name or of the type of a given expression.
Chapter_4:  static_cast 	An explicit request for a well-defined type conversion. Often used to override an implicit conversion that the compiler would otherwise perform.
Chapter_4:  unary operators 	Operators that take a single operand.
Chapter_4:  	, operator Comma operator. Binary operator that is evaluated left to right. The result of a comma expression is the value of the right-hand operand. The result is an lvalue if and only if that operand is an lvalue.
Chapter_4:  ?: operator 	Conditional operator. Provides an if-then-else expression of the form cond ?  expr1 :  expr2; If the condition cond is true, then expr1 is evaluated. Otherwise, expr2 is evaluated. The type expr1 and expr2 must be the same type or be convertible to a common type. Only one of expr1 or expr2 is evaluated.
Chapter_4:  && operator 	Logical AND operator. Result is true if both operands are true. The right-hand operand is evaluated only if the left-hand operand is true.
Chapter_4:  & operator 	Bitwise AND operator. Generates a new integral value in which each bit position is 1 if both operands have a 1 in that position; otherwise the bit is 0.
Chapter_4:  ^ operator 	Bitwise exclusive or operator. Generates a new integral value in which each bit position is 1 if either but not both operands contain a 1 in that bit position; otherwise, the bit is 0.
Chapter_4:  || operator 	Logical OR operator. Yields true if either operand is true. The righthand operand is evaluated only if the left-hand operand is false.
Chapter_4:  | operator 	Bitwise OR operator. Generates a new integral value in which each bit position is 1 if either operand has a 1 in that position; otherwise the bit is 0.
Chapter_4:  ++ operator 	The increment operator. The increment operator has two forms, prefix and postfix. Prefix increment yields an lvalue. It adds 1 to the operand and returns the changed value of the operand. Postfix increment yields an rvalue. It adds 1 to the operand and returns a copy of the original, unchanged value of the operand. Note: Iterators have ++ even if they do not have the + operator.
Chapter_4:  -- operator 	The decrement operator has two forms, prefix and postfix. Prefix decrement yields an lvalue. It subtracts 1 from the operand and returns the changed value of the operand. Postfix decrement yields an rvalue. It subtracts 1 from the operand and returns a copy of the original, unchanged value of the operand. Note: Iterators have -- even if they do not have the -.
Chapter_4:  << operator 	The left-shift operator. Shifts bits in a (possibly promoted) copy of the value of the left-hand operand to the left. Shifts as many bits as indicated by the right-hand operand. The right-hand operand must be zero or positive and strictly less than the number of bits in the result. Left-hand operand should be unsigned; if the left-hand operand is signed, it is undefined if a shift causes a different bit to shift into the sign bit.
Chapter_4:  >> operator 	The right-shift operator. Like the left-shift operator except that bits are shifted to the right. If the left-hand operand is signed, it is implementation defined whether bits shifted into the result are 0 or a copy of the sign bit.
Chapter_4:  ~ operator 	Bitwise NOT operator. Generates a new integral value in which each bit is an inverted copy of the corresponding bit in the (possibly promoted) operand.
Chapter_5:  ! operator 	Logical NOT operator. Returns the inverse of the bool value of its operand. Result is true if operand is false and vice versa. block Sequence of zero or more statements enclosed in curly braces. A block is a statement, so it can appear anywhere a statement is expected.
Chapter_5:  break statement 	Terminates the nearest enclosing loop or switch statement. Execution transfers to the first statement following the terminated loop or switch.
Chapter_5:  case label 	Constant expression (§ 2.4.4, p. 65) that follows the keyword case in a switch statement. No two case labels in the same switch statement may have the same value.
Chapter_5:  catch clause 	The catch keyword, an exception declaration in parentheses, and a block of statements. The code inside a catch clause does whatever is necessary to handle an exception of the type defined in its exception declaration.
Chapter_5:  compound statement 	Synonym for block.
Chapter_5:  continue statement 	Terminates the current iteration of the nearest enclosing loop. Execution transfers to the loop condition in a while or do, to the next iteration in a range for, or to the expression in the header of a traditional for loop.
Chapter_5:  dangling else 	Colloquial term used to refer to the problem of how to process nested if statements in which there are more ifs than elses. In C++, an else is always paired with the closest preceding unmatched if. Note that curly braces can be used to effectively hide an inner if so that the programmer can control which if a given else should match.
Chapter_5:  default 	label case label that matches any otherwise unmatched value computed in the switch expression.
Chapter_5:  do while statement 	Like a while, except that the condition is tested at the end of the loop, not the beginning. The statement inside the do is executed at least once.
Chapter_5:  exception classes 	Set of classes defined by the standard library to be used to represent errors. Table 5.1 (p. 197) lists the general-purpose exception classes.
Chapter_5:  exception declaration 	The declaration in a catch clause. This declaration specifies the type of exceptions the catch can handle.
Chapter_5:  exception handler 	Code that deals with an exception raised in another part of the program. Synonym for catch clause.
Chapter_5:  exception safe 	Term used to describe programs that behave correctly when exceptions are thrown.
Chapter_5:  expression statement 	An expression followed by a semicolon. An expression statement causes the expression to be evaluated.
Chapter_5:  flow of control 	Execution path through a program.
Chapter_5:  for statement 	Iteration statement that provides iterative execution. Ordinarily used to step through a container or to repeat a calculation a given number of times.
Chapter_5:  goto statement 	Statement that causes an unconditional transfer of control to a specified labeled statement elsewhere in the same function. gotos obfuscate the flow of control within a program and should be avoided.
Chapter_5:  if else statement 	Conditional execution of code following the if or the else, depending on the truth value of the condition.
Chapter_5:  if statement 	Conditional execution based on the value of the specified condition. If the condition is true, then the if body is executed. If not, control flows to the statement following the if.
Chapter_5:  labeled statement 	Statement preceded by a label. A label is an identifier followed by a colon. Label identifiers are independent of other uses of the same identifier.
Chapter_5:  null statement 	An empty statement. Indicated by a single semicolon.
Chapter_5:  raise 	Often used as a synonym for throw. C++ programmers speak of “throwing” or “raising” an exception interchangeably.
Chapter_5:  range for statement 	Statement that iterates through a sequence.
Chapter_5:  switch statement 	A conditional statement that starts by evaluating the expression that follows the switch keyword. Control passes to the labeled statement with a case label that matches the value of the expression. If there is no matching label, execution either continues at the default label, if there is one, or falls out of the switch if there is no default label.
Chapter_5:  terminate 	Library function that is called if an exception is not caught.
Chapter_5:  terminate 	aborts the program.
Chapter_5:  throw expression 	Expression that interrupts the current execution path. Each throw throws an object and transfers control to the nearest enclosing catch clause that can handle the type of exception that is thrown.
Chapter_5:  try block 	Block enclosed by the keyword try and one or more catch clauses. If the code inside a try block raises an exception and one of the catch clauses matches the type of the exception, then the exception is handled by that catch. Otherwise, the exception is handled by an enclosing try block or the program terminates.
Chapter_6:  while statement 	Iteration statement that executes its target statement as long as a specified condition is true. The statement is executed zero or more times, depending on the truth value of the condition. ambiguous call Compile-time error that results during function matching when two or more functions provide an equally good match for a call.
Chapter_6:  arguments 	Values supplied in a function call that are used to initialize the function’s parameters.
Chapter_6:  assert 	Preprocessor macro that takes a single expression, which it uses as a condition. When the preprocessor variable NDEBUG is not defined, assert evaluates the condition and, if the condition is false, writes a message and terminates the program.
Chapter_6:  automatic objects 	Objects that exist only during the execution of a function. They are created when control passes through their definition and are destroyed at the end of the block in which they are defined.
Chapter_6:  best match 	Function selected from a set of overloaded functions for a call. If a best match exists, the selected function is a better match than all the other viable candidates for at least one argument in the call and is no worse on the rest of the arguments.
Chapter_6:  call by reference 	See pass by reference.
Chapter_6:  call by value 	See pass by value.
Chapter_6:  candidate functions 	Set of functions that are considered when resolving a function call. The candidate functions are all the functions with the name used in the call for which a declaration is in scope at the time of the call.
Chapter_6:  constexpr 	Function that may return a constant expression. A constexpr function is implicitly inline.
Chapter_6:  default argument 	Value specified to be used when an argument is omitted in a call to the function.
Chapter_6:  executable file 	File, which the operating system executes, that contains code corresponding to our program.
Chapter_6:  function 	Callable unit of computation.
Chapter_6:  function body 	Block that defines the actions of a function.
Chapter_6:  function matching 	Compiler process by which a call to an overloaded function is resolved. Arguments used in the call are compared to the parameter list of each overloaded function.
Chapter_6:  function prototype 	Function declaration, consisting of the name, return type, and parameter types of a function. To call a function, its prototype must have been declared before the point of call.
Chapter_6:  hidden names 	Names declared inside a scope hide previously declared entities with the same names declared outside that scope.
Chapter_6:  initializer_list 	Library class that represents a comma-separated list of objects of a single type enclosed inside curly braces.
Chapter_6:  inline function 	Request to the compiler to expand a function at the point of call, if possible. Inline functions avoid the normal function-calling overhead.
Chapter_6:  link 	Compilation step in which multiple object files are put together to form an executable program.
Chapter_6:  local static objects 	Local objects whose value persists across calls to the function. Local static objects that are created and initialized before control reaches their use and are destroyed when the program ends.
Chapter_6:  local variables 	Variables defined inside a block.
Chapter_6:  no match 	Compile-time error that results during function matching when there is no function with parameters that match the arguments in a given call.
Chapter_6:  object code 	Format into which the compiler transforms our source code.
Chapter_6:  object file 	File holding object code generated by the compiler from a given source file. An executable file is generated from one or more object files after the files are linked together.
Chapter_6:  object lifetime 	Every object has an associated lifetime. Nonstatic objects that are defined inside a block exist from when their definition is encountered until the end of the block in which they are defined. Global objects are created during program startup. Local static objects are created before the first time execution passes through the object’s definition. Global objects and local static objects are destroyed when the main function ends.
Chapter_6:  overload resolution 	See function matching.
Chapter_6:  overloaded function 	Function that has the same name as at least one other function. Overloaded functions must differ in the number or type of their parameters.
Chapter_6:  parameters 	Local variables declared inside the function parameter list. Parameters are initialized by the arguments provided in each function call.
Chapter_6:  pass by reference 	Description of how arguments are passed to parameters of reference type. Reference parameters work the same way as any other use of references; the parameter is bound to its corresponding argument.
Chapter_6:  pass by value 	How arguments are passed to parameters of a nonreference type. A nonreference parameter is a copy of the value of its corresponding argument.
Chapter_6:  preprocessor macro 	Preprocessor facility that behaves like an inline function. Aside from assert, modern C++ programs make very little use of preprocessor macros.
Chapter_6:  recursion loop 	Description of a recursive function that omits a stopping condition and which calls itself until exhasuting the program stack.
